"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.58181818182E+008, -2.39669673766E+000, +0.00000000000E+000
+6.61454545455E+008, -2.44139289160E+000, +0.00000000000E+000
+6.64727272727E+008, -2.49090354535E+000, +0.00000000000E+000
+6.68000000000E+008, -2.54503907543E+000, +0.00000000000E+000
+6.71272727273E+008, -2.60100833208E+000, +0.00000000000E+000
+6.74545454545E+008, -2.65704949450E+000, +0.00000000000E+000
+6.77818181818E+008, -2.71255912537E+000, +0.00000000000E+000
+6.81090909091E+008, -2.76538179823E+000, +0.00000000000E+000
+6.84363636364E+008, -2.81390988651E+000, +0.00000000000E+000
+6.87636363636E+008, -2.85661017870E+000, +0.00000000000E+000
+6.90909090909E+008, -2.89174447388E+000, +0.00000000000E+000
+6.94181818182E+008, -2.91949450145E+000, +0.00000000000E+000
+6.97454545455E+008, -2.94311662368E+000, +0.00000000000E+000
+7.00727272727E+008, -2.95926595940E+000, +0.00000000000E+000
+7.04000000000E+008, -2.96518552893E+000, +0.00000000000E+000
+7.07272727273E+008, -2.97236878318E+000, +0.00000000000E+000
+7.10545454545E+008, -2.98418475483E+000, +0.00000000000E+000
+7.13818181818E+008, -3.00225061340E+000, +0.00000000000E+000
+7.17090909091E+008, -3.02729502632E+000, +0.00000000000E+000
+7.20363636364E+008, -3.06064993763E+000, +0.00000000000E+000
+7.23636363636E+008, -3.10339594422E+000, +0.00000000000E+000
+7.26909090909E+008, -3.15542325641E+000, +0.00000000000E+000
+7.30181818182E+008, -3.21764753021E+000, +0.00000000000E+000
+7.33454545455E+008, -3.28905374042E+000, +0.00000000000E+000
+7.36727272727E+008, -3.36896769762E+000, +0.00000000000E+000
+7.40000000000E+008, -3.45795237177E+000, +0.00000000000E+000
+7.43272727273E+008, -3.55528403597E+000, +0.00000000000E+000
+7.46545454545E+008, -3.66094103408E+000, +0.00000000000E+000
+7.49818181818E+008, -3.77552054022E+000, +0.00000000000E+000
+7.53090909091E+008, -3.90645109811E+000, +0.00000000000E+000
+7.56363636364E+008, -4.05078278169E+000, +0.00000000000E+000
+7.59636363636E+008, -4.14920683730E+000, +0.00000000000E+000
+7.62909090909E+008, -4.13549685259E+000, +0.00000000000E+000
+7.66181818182E+008, -4.12500196927E+000, +0.00000000000E+000
+7.69454545455E+008, -4.15578342568E+000, +0.00000000000E+000
+7.72727272727E+008, -4.20624201482E+000, +0.00000000000E+000
+7.76000000000E+008, -4.26538329168E+000, +0.00000000000E+000
+7.79272727273E+008, -4.33450403422E+000, +0.00000000000E+000
+7.82545454545E+008, -4.41582982339E+000, +0.00000000000E+000
+7.85818181818E+008, -4.49772914826E+000, +0.00000000000E+000
+7.89090909091E+008, -4.52439921714E+000, +0.00000000000E+000
+7.92363636364E+008, -4.49453856193E+000, +0.00000000000E+000
+7.95636363636E+008, -4.49138382361E+000, +0.00000000000E+000
+7.98909090909E+008, -4.52930183423E+000, +0.00000000000E+000
+8.02181818182E+008, -4.59450402649E+000, +0.00000000000E+000
+8.05454545455E+008, -4.67794503054E+000, +0.00000000000E+000
+8.08727272727E+008, -4.77454544214E+000, +0.00000000000E+000
+8.12000000000E+008, -4.88402027556E+000, +0.00000000000E+000
+8.15272727273E+008, -5.00527630777E+000, +0.00000000000E+000
+8.18545454545E+008, -5.13490171140E+000, +0.00000000000E+000
+8.21818181818E+008, -5.26917320373E+000, +0.00000000000E+000
+8.25090909091E+008, -5.40793065081E+000, +0.00000000000E+000
+8.28363636364E+008, -5.55492031913E+000, +0.00000000000E+000
+8.31636363636E+008, -5.71341499056E+000, +0.00000000000E+000
+8.34909090909E+008, -5.88445509193E+000, +0.00000000000E+000
+8.38181818182E+008, -6.06404917982E+000, +0.00000000000E+000
+8.41454545455E+008, -6.24251973223E+000, +0.00000000000E+000
+8.44727272727E+008, -6.41364757517E+000, +0.00000000000E+000
+8.48000000000E+008, -6.57596701579E+000, +0.00000000000E+000
+8.51272727273E+008, -6.72422663491E+000, +0.00000000000E+000
+8.54545454545E+008, -6.85967695325E+000, +0.00000000000E+000
+8.57818181818E+008, -6.97995677981E+000, +0.00000000000E+000
+8.61090909091E+008, -7.07686374068E+000, +0.00000000000E+000
+8.64363636364E+008, -7.15505550163E+000, +0.00000000000E+000
+8.67636363636E+008, -7.24894526279E+000, +0.00000000000E+000
+8.70909090909E+008, -7.36990080024E+000, +0.00000000000E+000
+8.74181818182E+008, -7.51805512377E+000, +0.00000000000E+000
+8.77454545455E+008, -7.68088187005E+000, +0.00000000000E+000
+8.80727272727E+008, -7.85021185224E+000, +0.00000000000E+000
+8.84000000000E+008, -8.02521924885E+000, +0.00000000000E+000
+8.87272727273E+008, -8.21089056816E+000, +0.00000000000E+000
+8.90545454545E+008, -8.40937163264E+000, +0.00000000000E+000
+8.93818181818E+008, -8.61871017583E+000, +0.00000000000E+000
+8.97090909091E+008, -8.84031101348E+000, +0.00000000000E+000
+9.00363636364E+008, -9.08565185017E+000, +0.00000000000E+000
+9.03636363636E+008, -9.36148070790E+000, +0.00000000000E+000
+9.06909090909E+008, -9.67489792605E+000, +0.00000000000E+000
+9.10181818182E+008, -1.00267686586E+001, +0.00000000000E+000
+9.13454545455E+008, -1.04165761160E+001, +0.00000000000E+000
+9.16727272727E+008, -1.08440408184E+001, +0.00000000000E+000
+9.20000000000E+008, -1.13012001246E+001, +0.00000000000E+000
+9.23272727273E+008, -1.17803061692E+001, +0.00000000000E+000
+9.26545454545E+008, -1.22730023139E+001, +0.00000000000E+000
+9.29818181818E+008, -1.27657216465E+001, +0.00000000000E+000
+9.33090909091E+008, -1.32453052464E+001, +0.00000000000E+000
+9.36363636364E+008, -1.36965039050E+001, +0.00000000000E+000
+9.39636363636E+008, -1.41065064781E+001, +0.00000000000E+000
+9.42909090909E+008, -1.44619753843E+001, +0.00000000000E+000
+9.46181818182E+008, -1.47474402581E+001, +0.00000000000E+000
+9.49454545455E+008, -1.49650480670E+001, +0.00000000000E+000
+9.52727272727E+008, -1.51255515561E+001, +0.00000000000E+000
+9.56000000000E+008, -1.52540983822E+001, +0.00000000000E+000
+9.59272727273E+008, -1.54020266178E+001, +0.00000000000E+000
+9.62545454545E+008, -1.56164414071E+001, +0.00000000000E+000
+9.65818181818E+008, -1.59217540014E+001, +0.00000000000E+000
+9.69090909091E+008, -1.63358265333E+001, +0.00000000000E+000
+9.72363636364E+008, -1.68689852310E+001, +0.00000000000E+000
+9.75636363636E+008, -1.75235872328E+001, +0.00000000000E+000
+9.78909090909E+008, -1.83080196660E+001, +0.00000000000E+000
+9.82181818182E+008, -1.92284443323E+001, +0.00000000000E+000
+9.85454545455E+008, -2.02900581878E+001, +0.00000000000E+000
+9.88727272727E+008, -2.14778184184E+001, +0.00000000000E+000
+9.92000000000E+008, -2.27293932546E+001, +0.00000000000E+000
